cc_num,loyalty_num,frequency
4795,L8566,25
4795,L2070,1
6816,L8148,20
9617,L5553,26
7384,L3800,26
5368,L2247,24
5368,L6119,1
4948,L9406,22
4948,L3295,1
9683,L7291,18
8129,L8328,21
3492,L7814,22
5921,L3295,12
5921,L9406,1
2142,L9637,25
9551,L5777,12
3484,L2490,24
7819,L5259,27
5407,L4034,20
1874,L4424,25
3853,L1485,22
4434,L2169,26
6901,L9363,28
1286,L3572,13
1286,L3288,15
8411,L6110,27
8202,L2343,25
9220,L4063,9
9735,L9633,16
1415,L7783,24
9635,L3191,24
7688,L4164,22
6899,L6267,23
2540,L5947,20
1877,L3014,18
8332,L2070,27
8332,L8566,1
1321,L4149,22
6895,L3366,21
9241,L3288,13
2463,L6886,23
7253,L1682,24
6691,L6267,20
2681,L1107,20
1310,L8012,21
7889,L6119,20
7889,L2247,1
9405,L3259,21
7117,L6417,28
8642,L2769,12
7354,L9254,21
7108,L6544,16
3506,L7761,6
7792,L5756,20
8156,L5224,22
2418,L9018,20
2276,L3317,10
4530,L8477,10
9152,L5485,2
9614,L5924,2
3547,L9362,14
5010,L2459,5
34,3484,7
34,6901,7
20,9683,6
20,7819,6
26,2681,8
18,3492,6
12,6691,6
33,7819,10
17,3484,7
17,1286,7
27,6691,8
6,2142,7
21,7819,7
21,8411,7
23,1286,9
1,2681,8
8,1874,8
16,3853,6
16,1286,6
16,8411,6
16,8202,6
16,7819,6
13,8411,5
24,6901,5
25,2418,3
25,8411,3
25,1310,3
29,2418,4
30,8202,5
15,6901,8
22,8202,5
22,8411,5
101,9220,2
104,8642,2
4,7819,3
5,2681,4
14,6691,7
14,3492,7
14,2681,7
9,4948,1
9,7108,1
9,8332,1
9,9635,1
9,1415,1
11,6895,4
19,8332,3
2,7688,4
105,6895,2
105,7792,2
106,9735,3
32,2540,2
32,9635,2
32,6895,2
32,7354,2
32,7253,2
7,7253,3
107,9735,1
107,4530,1
107,9614,1
35,1415,3
35,1874,3
3,1321,3
10,9635,2
10,5407,2
10,1415,2
10,7688,2
31,7354,2
